Vehicle,Price,Year,Manufacturer,Model,Condition,Cylinders,Fuel,Odometer,Transmission,Drive,Type,Paint,State
1,15000,2013,ford,f-150 xlt,excellent,6,gas,128000,automatic,rwd,truck,black,al
2,35000,2019,toyota,tacoma,excellent,6,gas,43000,automatic,4wd,truck,grey,al
3,19900,2004,ford,f250 super duty,good,8,diesel,88000,automatic,4wd,truck,blue,al
4,14000,2012,honda,odyssey,excellent,6,gas,95000,automatic,fwd,mini-van,silver,al
5,22500,2001,ford,f450,good,8,diesel,144700,manual,rwd,truck,white,al
6,3000,2004,chrysler,town & country,good,6,gas,176144,automatic,fwd,mini-van,silver,al
7,9500,2003,chrysler,town & country,excellent,6,gas,30376,automatic,fwd,mini-van,blue,al
8,6000,2007,mercedes-benz,e320 cdi,good,6,diesel,124000,automatic,rwd,sedan,blue,al
9,4000,2006,jeep,grand cherokee laredo,good,6,gas,281000,automatic,rwd,SUV,black,al
10,21950,2012,toyota,tacoma 4x4,excellent,4,gas,143060,manual,4wd,truck,silver,al
11,13950,2011,toyota,tacoma,good,4,gas,151060,automatic,rwd,truck,silver,al
12,12950,2005,bmw,z4,excellent,6,gas,69586,automatic,rwd,convertible,white,al
13,18950,2010,ford,f150 lariat supercrew 4x4,good,8,gas,151403,automatic,4wd,truck,black,al
14,6995,2011,volkswagen,jetta sel,excellent,5,gas,172752,automatic,fwd,sedan,black,al
15,12500,2008,ford,ranger xlt,excellent,6,gas,141345,automatic,rwd,truck,grey,al
16,16950,2007,toyota,tacoma double cab,good,6,gas,156792,automatic,rwd,truck,white,al
17,22950,2014,ford,f150 supercrew cab xlt,excellent,8,gas,166380,automatic,4wd,truck,black,al
18,12950,2011,honda,crv ex,excellent,4,gas,87994,automatic,fwd,SUV,silver,al
19,12950,2007,mazda,mx-5 miata touring,excellent,4,gas,90610,automatic,rwd,convertible,black,al
20,13950,2011,mazda,mx-5 miata grand touring,excellent,4,gas,138235,automatic,rwd,convertible,red,al
21,19950,2009,porsche,boxster,excellent,6,gas,80190,automatic,rwd,convertible,red,al
22,13950,2008,mazda,miata,excellent,4,gas,86650,manual,rwd,convertible,grey,al
23,10950,2009,lexus,rx350,excellent,6,gas,191955,automatic,4wd,SUV,white,al
24,32000,2008,chevrolet,silverado 2500,good,8,diesel,109600,automatic,4wd,truck,white,al
25,4000,2002,toyota,echo,excellent,4,gas,155000,automatic,fwd,sedan,blue,al
26,3000,2004,chevrolet,blazer,good,6,gas,131500,automatic,4wd,SUV,white,al
27,2500,1995,bmw,525i,fair,6,gas,110661,automatic,rwd,sedan,white,al
28,12500,2008,gmc,yukon xl,excellent,8,gas,177326,automatic,rwd,SUV,black,al
29,2500,2008,honda,accord,good,6,gas,204561,automatic,fwd,sedan,silver,al
30,8100,2011,ford,escape,excellent,6,hybrid,140000,automatic,fwd,SUV,white,al
31,5500,1974,mercedes-benz,1929 ssk replica,good,4,gas,9999,automatic,rwd,convertible,yellow,al
32,6800,2004,mercedes-benz,clk320,good,6,gas,116700,automatic,rwd,convertible,silver,al
33,45000,2017,chevrolet,silverado,excellent,8,gas,92000,automatic,4wd,truck,red,al
34,9000,2008,mazda,miata mx-5,excellent,4,gas,56700,automatic,rwd,convertible,white,al
35,19500,2008,ram,3500,good,6,diesel,161000,manual,4wd,truck,silver,al
36,15000,2009,toyota,tacoma 4x4,good,6,gas,213800,automatic,4wd,truck,silver,al
37,8950,2011,ford,f-150,excellent,6,gas,164000,automatic,fwd,truck,white,al
38,4000,1972,mercedes-benz,benz,fair,6,gas,88100,automatic,rwd,coupe,silver,al
39,50000,2019,toyota,tundra,like new,8,gas,20010,automatic,4wd,truck,white,al
40,1200,2005,chevrolet,impala,fair,4,gas,256806,automatic,fwd,sedan,blue,al
41,8888,2005,nissan,altima 3.5 sl,excellent,6,gas,53320,automatic,fwd,sedan,brown,al
42,98900,2001,ferrari,360 modena,good,8,gas,20187,automatic,rwd,convertible,red,al
43,16500,2011,ford,f250 super duty,excellent,8,gas,201766,automatic,4wd,truck,white,al
44,9400,2008,mercedes-benz,benz c350,good,6,gas,129473,automatic,rwd,sedan,silver,al
45,7900,2013,nissan,pathfinder,good,6,gas,152400,automatic,fwd,SUV,white,al
46,7300,2007,lexus,rx350,good,6,gas,181000,automatic,fwd,SUV,white,al
47,72900,2021,chevrolet,tahoe,good,8,gas,19129,automatic,4wd,SUV,grey,al
48,28900,2017,audi,q7,good,6,gas,94601,automatic,4wd,SUV,white,al
49,17000,2019,chevrolet,trax,good,4,gas,14898,automatic,4wd,SUV,grey,al
50,5950,2007,mitsubishi,eclipse,good,4,gas,72000,manual,fwd,hatchback,black,al
51,8900,2013,toyota,prius,excellent,4,hybrid,142900,automatic,fwd,wagon,blue,al
52,4000,2002,toyota,camry,like new,4,gas,160000,automatic,fwd,sedan,white,al
53,10800,2013,toyota,camry,excellent,4,hybrid,147000,automatic,fwd,sedan,grey,al
54,5500,2008,nissan,altima,like new,4,gas,150000,automatic,fwd,sedan,white,al
55,3500,1994,ford,f450,fair,8,diesel,190000,manual,rwd,truck,white,al
56,16000,2016,dodge,charger,like new,6,gas,62000,automatic,rwd,sedan,silver,al
57,1500,2005,toyota,solara,good,4,gas,222100,automatic,fwd,sedan,silver,al
58,40000,2017,chevrolet,tahoe,like new,8,gas,68000,automatic,rwd,SUV,silver,al
59,10500,2008,infiniti,ex35,good,6,gas,122904,automatic,rwd,wagon,black,al
60,9500,2014,toyota,prius v hybrid,good,4,gas,136128,automatic,fwd,hatchback,white,al
61,12900,2014,nissan,rogue sv,good,4,gas,120211,automatic,fwd,SUV,red,al
62,3200,2006,chevrolet,trailblazer,good,6,gas,178762,automatic,rwd,SUV,grey,al
63,6950,2011,volkswagen,jetta,excellent,5,gas,116000,automatic,fwd,sedan,silver,al
64,8995,2005,nissan,altima 3.5 sl,excellent,6,gas,53320,automatic,fwd,sedan,brown,al
65,1250,1988,ford,bronco ii,fair,6,gas,90000,manual,4wd,SUV,black,al
66,9988,2014,kia,sorento lx,good,4,gas,121259,automatic,fwd,SUV,red,al
67,24888,2019,ford,f150 regular cab xl,excellent,6,gas,8176,automatic,rwd,truck,white,al
68,16888,2008,toyota,fj cruiser 4x4,good,6,gas,188096,automatic,4wd,SUV,yellow,al
69,19888,2015,mercedes-benz,benz ml 450,excellent,6,gas,111261,automatic,4wd,SUV,silver,al
70,31888,2015,gmc,1500 yukon slt,good,8,gas,109947,automatic,rwd,SUV,white,al
71,29950,2014,gmc,sierra 1500,excellent,8,gas,139029,automatic,4wd,truck,black,al
72,45950,2014,gmc,sierra 2500hd denali,excellent,8,diesel,154289,automatic,4wd,truck,black,al
73,11500,2008,ford,f-250 super duty xl,good,8,diesel,283356,automatic,rwd,truck,white,al
74,2450,2000,infiniti,qx4,good,6,gas,246653,automatic,4wd,SUV,silver,al
75,3500,1995,honda,civic del sol si,good,4,gas,215000,manual,fwd,convertible,red,al
76,7200,2007,toyota,highlander,excellent,4,gas,155490,automatic,fwd,SUV,silver,al
77,17500,2001,ram,3500,good,6,diesel,178000,manual,4wd,truck,white,al
78,5500,2010,hyundai,accent,good,4,gas,114988,automatic,fwd,hatchback,blue,al
79,6900,2008,ford,escape hev,good,4,hybrid,103550,automatic,fwd,SUV,white,al
80,10900,2010,honda,accord crosstour exl,good,6,gas,97804,automatic,fwd,wagon,grey,al
81,8900,2014,fiat,500l lounge,good,4,gas,84778,automatic,fwd,hatchback,red,al
82,8900,2003,ford,f250 lariat,good,8,diesel,247000,automatic,rwd,truck,red,al
83,27990,2014,ram,2500 4x4,like new,6,diesel,2222222,automatic,4wd,truck,white,al
84,23888,2014,ram,1500 express,like new,8,diesel,110789,automatic,rwd,truck,silver,al
85,3500,2008,acura,tl,good,6,gas,242000,automatic,fwd,sedan,grey,al
86,27900,2014,chevrolet,silverado 3500hd,good,8,diesel,170525,automatic,4wd,truck,white,al
87,7500,2012,chevrolet,silverado,excellent,6,gas,212000,automatic,rwd,truck,white,al
88,9500,2013,hyundai,sonata,excellent,4,gas,125000,automatic,fwd,sedan,red,al
89,16900,2015,kia,optima,good,4,gas,82999,automatic,fwd,sedan,white,al
90,19900,2011,cadillac,escalade,good,8,gas,133257,automatic,rwd,SUV,white,al
91,19900,2019,hyundai,sonata,good,4,gas,21872,automatic,fwd,sedan,white,al
92,18900,2019,nissan,altima,good,4,gas,47421,automatic,fwd,sedan,grey,al
93,22000,2013,rover,lr4 hse,good,8,gas,119550,automatic,4wd,SUV,white,al
94,23500,2008,lexus,sc430,excellent,8,gas,73500,automatic,rwd,convertible,red,al
95,5000,2005,honda,element ex,good,4,gas,182000,automatic,fwd,SUV,red,al
96,34900,2020,nissan,pathfinder,excellent,6,gas,15400,automatic,rwd,SUV,white,al
97,6900,2001,jeep,cherokee sport,excellent,6,gas,144445,automatic,rwd,SUV,white,al
98,26990,2008,ram,2500 mega cab 4x4,like new,6,diesel,172000,automatic,4wd,truck,red,al
99,17990,2018,ford,edge sel,like new,6,gas,1111111,automatic,fwd,SUV,blue,al
100,11990,2011,audi,a3 tdi premium plus,like new,4,diesel,70000,automatic,fwd,sedan,black,al
101,8700,1979,lincoln,town car,excellent,8,gas,22964,automatic,rwd,sedan,grey,al
102,8500,2011,toyota,camry,excellent,4,gas,114500,automatic,fwd,sedan,blue,al
103,32500,2014,chevrolet,ss sedan,good,8,gas,80000,automatic,rwd,sedan,black,al
104,6200,1984,gmc,sierra,fair,8,gas,51000,manual,4wd,truck,white,al
105,5999,2013,mazda,sx4 se,like new,4,gas,91000,automatic,fwd,sedan,red,al
106,13500,2013,infiniti,jx35,excellent,6,gas,108829,automatic,fwd,SUV,black,al
107,4500,2005,toyota,camry xle,like new,4,gas,170000,automatic,fwd,sedan,white,al
108,12999,2014,dodge,charger,good,8,gas,137000,automatic,rwd,sedan,black,al
109,37900,2020,chevrolet,silverado 1500,like new,8,gas,5622,automatic,rwd,truck,white,al
110,31900,2019,ford,transit,like new,6,gas,29497,automatic,rwd,van,white,al
111,11500,2013,chevrolet,express,excellent,8,gas,228699,automatic,rwd,van,white,al
112,32900,2019,ford,transit,like new,6,gas,6735,automatic,rwd,van,white,al
113,31500,2019,gmc,savana,like new,8,gas,24585,automatic,rwd,van,white,al
114,29900,2019,ford,f-150,like new,8,gas,23004,automatic,rwd,truck,white,al
115,9500,2014,ford,transit connect,excellent,4,gas,219581,automatic,fwd,van,white,al
116,17200,2014,ford,transit connect,excellent,4,gas,45026,automatic,fwd,van,white,al
117,23900,2017,ford,transit 150,excellent,6,gas,108482,automatic,rwd,van,white,al
118,22300,2017,ford,transit 150,excellent,6,gas,113617,automatic,rwd,van,white,al
119,37500,2020,infiniti,qx 50 luxe,like new,4,gas,4230,manual,fwd,SUV,white,al
120,1800,2007,nissan,pathfinder,fair,6,gas,147000,automatic,fwd,SUV,grey,al
121,8500,2008,jeep,commander sport,good,8,gas,198000,automatic,rwd,SUV,black,al
122,16900,2015,ram,1500 slt,good,6,gas,97563,automatic,rwd,truck,silver,al
123,33990,2016,chevrolet,express commercial cutaway,good,8,gas,12398,automatic,rwd,truck,white,al
124,20990,2006,chevrolet,express cargo van,good,8,diesel,134296,automatic,rwd,truck,white,al
125,27990,2008,ford,econoline cargo van,good,8,gas,83459,automatic,rwd,truck,white,al
126,33990,2014,ford,super duty f-550 drw,good,8,diesel,136250,automatic,4wd,truck,white,al
127,24990,2017,gmc,savana commercial cutaway,good,8,gas,136965,automatic,rwd,truck,white,al
128,24990,2009,chevrolet,3500 lcf gas,good,8,gas,72789,automatic,rwd,truck,white,al
129,25990,2006,chevrolet,express cargo van,good,8,gas,73360,automatic,rwd,truck,white,al
130,29990,2011,ford,super duty f-450 drw,good,8,diesel,137481,automatic,4wd,truck,white,al
131,33990,2007,chevrolet,cc4500,good,8,gas,77581,automatic,rwd,truck,white,al
132,21990,2005,ford,econoline commercial cutaway,good,8,gas,45554,automatic,rwd,truck,white,al
133,49990,2015,ford,super duty f-550 drw,good,8,diesel,152701,automatic,4wd,truck,white,al
134,26990,1998,mitsubishi,fuso fh211,good,4,diesel,166302,manual,rwd,truck,white,al
135,26990,2016,chevrolet,express commercial cutaway,good,8,gas,75734,automatic,rwd,truck,white,al
136,27490,2006,mitsubishi,fuso fe145,good,4,diesel,96626,automatic,rwd,truck,green,al
137,28490,2008,mitsubishi,fuso fe145,good,4,diesel,70643,automatic,rwd,truck,green,al
138,33990,2012,ford,super duty f-250 srw,good,8,diesel,49678,automatic,4wd,truck,white,al
139,46990,2016,ram,4500,good,6,diesel,17619,automatic,rwd,truck,white,al
140,44990,2012,ford,super duty f-550 drw,good,8,diesel,52307,automatic,4wd,truck,white,al
141,44990,2015,ram,5500,good,6,diesel,80733,automatic,4wd,truck,white,al
142,20990,2010,ram,2500,good,8,gas,121850,automatic,4wd,truck,black,al
143,26990,2008,chevrolet,cc4500,good,8,gas,100921,automatic,4wd,truck,white,al
144,52990,2014,ford,super duty f-550 drw,good,8,diesel,15886,automatic,4wd,truck,white,al
145,27990,2011,ford,f-750,good,6,diesel,123622,automatic,rwd,truck,white,al
146,14990,2012,ford,econoline,good,8,gas,67820,automatic,rwd,truck,white,al
147,59990,2017,ford,super duty f-550 drw,good,8,diesel,31337,automatic,4wd,truck,white,al
148,31990,2006,ford,super duty f-550 drw,good,8,diesel,59429,automatic,4wd,truck,red,al
149,20888,2015,mercedes-benz,benz ml 450,excellent,6,gas,111261,automatic,4wd,SUV,silver,al
150,10888,2014,kia,sorento lx,good,4,gas,121259,automatic,fwd,SUV,red,al
151,26900,2019,ford,f150 regular cab xl,excellent,6,gas,8176,automatic,rwd,truck,white,al
152,40888,2020,jeep,gladiator,like new,6,gas,27955,automatic,4wd,SUV,black,al
153,14995,2007,jeep,wrangler unlimited sahara,good,6,gas,163169,automatic,4wd,SUV,black,al
154,10000,2015,chrysler,200,like new,4,gas,73381,automatic,fwd,sedan,white,al
155,4000,2014,chevrolet,sonic lt,like new,4,gas,135000,manual,fwd,sedan,silver,al
156,8500,2015,nissan,altima 2.5 s,excellent,4,gas,100000,automatic,fwd,sedan,white,al
157,2595,2003,ford,f-150,excellent,8,gas,149055,automatic,4wd,truck,red,al
158,14888,2007,jeep,wrangler unlimited sahara,good,6,gas,163169,automatic,4wd,SUV,black,al
159,6950,1998,ford,f150 xlt,excellent,8,gas,206000,automatic,rwd,truck,green,al
160,2700,2004,nissan,maxima,good,6,gas,200000,automatic,fwd,sedan,white,al
161,20000,2010,toyota,4runner limited,excellent,6,gas,113750,automatic,fwd,SUV,silver,al
162,10750,2006,toyota,tacoma,good,6,gas,223160,automatic,rwd,truck,red,al
163,21790,2016,chevrolet,silverado 1500 lt,good,6,gas,100662,automatic,rwd,truck,white,al
164,18990,2010,ford,econoline cargo van,good,8,gas,32988,automatic,rwd,van,white,al
165,13900,2013,honda,cr-v lx,good,4,gas,86933,automatic,fwd,SUV,blue,al
166,9800,2008,mazda,cx-9 touring,good,6,gas,138266,automatic,fwd,SUV,white,al
167,7000,2004,jaguar,xjr s,good,8,gas,135185,automatic,rwd,sedan,red,al
168,11500,2011,bmw,328i,excellent,4,gas,126000,automatic,rwd,sedan,black,al
169,32500,2019,ford,f-150,like new,6,gas,7700,automatic,rwd,truck,grey,al
170,26900,1994,nissan,skyline gts,good,4,gas,59384,manual,rwd,coupe,black,al
171,8500,2008,lexus,es350,good,6,gas,155374,automatic,rwd,sedan,grey,al
172,6800,2010,nissan,altima,like new,4,gas,139000,automatic,fwd,coupe,black,al
173,11700,2000,ford,f-350,good,8,diesel,274000,manual,rwd,truck,white,al
174,3800,2005,chrysler,pt cruiser gt,good,4,gas,135034,automatic,fwd,convertible,silver,al
175,18500,2009,jeep,wrangler unlimited x,good,4,gas,76641,automatic,4wd,SUV,silver,al
176,11700,2007,chevrolet,silverado classic,good,8,gas,155000,automatic,4wd,truck,black,al
177,6895,1995,gmc,sonoma,good,6,gas,186500,automatic,rwd,truck,red,al
178,14141,2017,ram,promaster city cargo van,like new,4,gas,102386,automatic,fwd,van,white,al
179,18777,2016,volvo,s60 inscription platinum,like new,4,gas,38561,automatic,fwd,sedan,silver,al
180,5600,2013,dodge,dart,good,4,gas,88000,manual,fwd,sedan,red,al
181,6500,2003,chevrolet,tahoe z71,like new,8,gas,245700,automatic,4wd,SUV,silver,al
182,20900,2016,toyota,avalon,excellent,6,gas,100318,automatic,rwd,sedan,silver,al
183,35000,1978,toyota,land cruiser,good,8,gas,1000000,manual,4wd,SUV,red,al
184,28500,2019,gmc,acadia,good,6,gas,43961,automatic,fwd,SUV,black,al
185,23900,2017,jeep,grand cherokee,good,6,gas,50543,automatic,rwd,SUV,black,al
186,38590,2014,mercedes-benz,c-class c 63 amg,good,8,gas,39558,automatic,rwd,coupe,black,al
187,9000,1976,alfa-romeo,romeo spider,excellent,4,gas,88627,manual,rwd,convertible,white,al
188,13500,2000,jeep,wrangler sport,good,6,gas,149980,automatic,4wd,SUV,blue,al
189,19500,2013,infiniti,qx 56,like new,8,gas,119895,automatic,4wd,SUV,grey,al
190,2700,2005,gmc,envoy,good,6,gas,183876,automatic,rwd,SUV,white,al
191,7991,2011,dodge,caliber mainstreet,excellent,4,gas,93333,automatic,fwd,hatchback,white,al
192,6599,2010,toyota,sienna xle,good,6,gas,174000,automatic,fwd,mini-van,brown,al
193,9800,2010,cadillac,srx luxury,good,6,gas,132815,automatic,fwd,SUV,black,al
194,5600,2008,toyota,camry,good,4,diesel,133244,automatic,fwd,sedan,grey,al
195,21900,2011,chevrolet,camaro 2ss,good,8,gas,93096,automatic,rwd,convertible,blue,al
196,22900,2018,nissan,frontier,good,4,gas,14570,automatic,rwd,truck,custom,al
197,30900,2015,chevrolet,silverado 1500,good,8,gas,114800,automatic,4wd,truck,custom,al
198,24900,2015,chevrolet,silverado 1500,good,8,gas,119569,automatic,rwd,truck,white,al
199,9250,2007,gmc,yukon slt,good,8,gas,181000,automatic,rwd,SUV,black,al
200,7950,2007,chevrolet,tahoe lt,good,8,gas,208000,automatic,rwd,SUV,grey,al
201,3500,2003,honda,accord,good,4,gas,201580,automatic,fwd,sedan,grey,al
202,38990,2013,chevrolet,express commercial cutaway,good,8,gas,134000,automatic,rwd,truck,white,al
203,34990,2017,ram,2500,good,8,gas,135740,automatic,4wd,truck,white,al
204,10990,2009,lexus,es 350,good,6,gas,102078,automatic,fwd,sedan,silver,al
205,29990,2003,ford,super duty f-550 drw,good,8,diesel,54703,manual,4wd,truck,red,al
206,38990,2016,mitsubishi,fuso fe180,good,4,diesel,33474,automatic,rwd,truck,white,al
207,28990,2008,ford,super duty f-450 drw,good,8,gas,118078,automatic,rwd,truck,white,al
208,8990,2013,chevrolet,equinox,good,4,gas,127100,automatic,fwd,wagon,black,al
209,49990,2013,ford,super duty f-550 drw,good,8,diesel,98689,automatic,4wd,truck,white,al
210,21990,2018,nissan,maxima,good,6,gas,25500,automatic,fwd,sedan,white,al
211,24990,2008,ford,econoline cargo van,good,8,gas,139567,automatic,rwd,truck,white,al
212,24990,2014,mitsubishi,fuso fe,good,4,diesel,117851,automatic,rwd,truck,white,al
213,47990,2014,ford,super duty f-550 drw,good,8,diesel,39253,automatic,4wd,truck,white,al
214,22990,2016,ford,econoline commercial cutaway,good,8,gas,181410,automatic,rwd,truck,white,al
215,29990,2007,ford,super duty f-750 straight frame,good,8,diesel,124669,automatic,rwd,truck,white,al
216,23990,2007,chevrolet,silverado 3500 classic,good,8,gas,32853,automatic,rwd,truck,white,al
217,26990,2016,ford,super duty f-750 straight frame,good,8,diesel,201035,automatic,rwd,truck,white,al
218,34990,2001,ford,super duty f-350 drw,good,8,diesel,70200,automatic,4wd,truck,custom,al
219,31990,2013,ford,super duty f-250 srw,good,8,gas,101335,automatic,4wd,truck,white,al
220,35990,2017,mitsubishi,fuso fe160,good,4,diesel,45925,automatic,rwd,truck,white,al
221,34500,2019,ford,transit,like new,6,gas,7646,automatic,rwd,van,white,al
222,16900,2014,ford,transit connect,excellent,4,gas,35173,automatic,fwd,van,white,al
223,32700,2019,ford,transit,like new,6,gas,13646,automatic,rwd,van,white,al
224,34800,2019,ford,transit,like new,6,gas,31020,automatic,rwd,van,white,al
225,9800,2012,kia,soul,good,4,gas,76117,automatic,fwd,wagon,white,al
226,19900,2004,chevrolet,ssr,good,8,gas,72333,automatic,rwd,truck,silver,al
227,35500,2019,chevrolet,silverado 4x4,like new,8,gas,7189,automatic,4wd,truck,black,al
228,2350,2001,gmc,safari slt,fair,6,gas,250000,automatic,rwd,van,brown,al
229,39500,2008,ford,f-650,like new,6,diesel,13158,manual,rwd,truck,white,al
230,6950,2008,honda,civic exl,excellent,4,gas,135000,automatic,fwd,sedan,silver,al
231,5950,2008,honda,accord,excellent,4,gas,190000,automatic,fwd,sedan,grey,al
232,6350,2013,toyota,corolla le,excellent,4,gas,184000,automatic,fwd,sedan,silver,al
233,18900,2015,ford,f-150 supercab xlt,good,6,gas,112165,automatic,rwd,truck,white,al
234,4900,2007,volkswagen,jetta gli fahrenheit,good,4,gas,243730,manual,fwd,sedan,yellow,al
235,16900,2017,chrysler,pacifica l,good,6,gas,88987,automatic,fwd,mini-van,silver,al
236,4800,2010,chevrolet,malibu ls,like new,4,gas,155071,automatic,fwd,sedan,white,al
237,17990,2018,ford,edge sel,like new,6,gas,101000,automatic,fwd,SUV,blue,al
238,25990,2008,ram,2500 mega cab 4x4,like new,6,diesel,172000,automatic,4wd,truck,red,al
239,3500,2001,buick,park avenue,good,6,gas,1000,automatic,fwd,sedan,brown,al
240,38000,2020,chevrolet,colorado crew cab lt,like new,4,diesel,8932,automatic,rwd,truck,white,al
241,5800,2012,ford,escape,excellent,4,gas,160000,automatic,fwd,SUV,silver,al
242,4500,2006,honda,civic,good,4,gas,170000,automatic,fwd,sedan,white,al
243,4200,2007,honda,odyssey,good,6,gas,195000,automatic,fwd,mini-van,green,al
244,5500,2009,jeep,patriot,good,6,gas,158000,automatic,rwd,SUV,silver,al
245,27500,2018,acura,tlx,good,6,gas,21115,automatic,fwd,sedan,black,al
246,19900,2018,kia,sportage,good,4,gas,35823,automatic,fwd,SUV,black,al
247,17900,2013,ram,1500,good,8,gas,153943,automatic,4wd,truck,white,al
248,14900,2015,subaru,xv crosstrek,good,4,gas,97061,automatic,4wd,SUV,orange,al
249,20900,2013,ford,f-150,good,6,gas,152233,automatic,4wd,truck,grey,al
250,7400,2007,lexus,rx350,good,6,gas,181000,automatic,fwd,SUV,white,al
251,12900,2015,volkswagen,passat,excellent,4,diesel,74400,automatic,fwd,sedan,white,al
252,7500,2011,kia,soul,excellent,4,gas,51000,automatic,fwd,SUV,silver,al
253,5500,2007,toyota,yaris,excellent,4,gas,51000,manual,fwd,hatchback,blue,al
254,35900,2020,ram,1500 big horn,good,8,gas,21028,automatic,rwd,truck,silver,al
255,40988,2020,jeep,gladiator,like new,6,gas,27955,automatic,4wd,SUV,black,al
256,20300,2017,ford,transit 150,excellent,6,gas,141625,automatic,rwd,van,white,al
257,29600,2019,gmc,savana,like new,8,gas,30052,automatic,rwd,van,white,al
258,36700,2019,ford,transit 250,excellent,6,gas,14985,automatic,rwd,van,white,al
259,32800,2018,ford,transit,excellent,6,gas,43479,automatic,rwd,van,white,al
260,31900,2019,ford,transit 250,excellent,6,gas,29497,automatic,rwd,van,white,al
261,38300,2020,ford,transit,like new,6,gas,7540,automatic,rwd,van,white,al
262,34800,2019,ford,transit,excellent,6,gas,31020,automatic,rwd,van,white,al
263,24900,2016,ford,econoline,excellent,8,gas,122238,automatic,rwd,truck,white,al
264,3200,1997,honda,crv ex awd,good,4,gas,155000,automatic,4wd,SUV,black,al
265,7200,1993,pontiac,firebird trans am,good,8,gas,111000,automatic,rwd,coupe,green,al
266,17900,2011,chevrolet,camaro ss,good,8,gas,133847,manual,rwd,coupe,white,al
267,15900,2011,jeep,wrangler,excellent,6,gas,165000,automatic,4wd,SUV,black,al
268,4500,2012,chevrolet,malibu,good,4,gas,160000,automatic,fwd,sedan,brown,al
269,7450,2004,toyota,4runner sr5,like new,6,gas,218000,automatic,rwd,SUV,grey,al
270,12900,2011,lincoln,mkx,like new,6,gas,77101,automatic,fwd,SUV,black,al
271,16900,2015,nissan,pathfinder sv,like new,6,gas,78808,automatic,fwd,SUV,red,al
272,24500,2006,ford,f550,excellent,8,diesel,147000,automatic,rwd,truck,white,al
273,39990,2018,toyota,4runner trd pro 4x4,like new,6,gas,44000,automatic,4wd,SUV,white,al
274,40900,2021,toyota,tacoma 4wd,good,6,gas,1582,automatic,4wd,truck,silver,al
275,18900,2019,nissan,altima,good,4,gas,44276,automatic,fwd,sedan,silver,al
276,10500,2010,acura,mdx,excellent,6,gas,173000,automatic,4wd,SUV,grey,al
277,28300,2019,bmw,430 gran coupe,excellent,4,gas,16000,automatic,rwd,hatchback,white,al
278,18500,2002,ford,f-350,like new,8,diesel,203000,automatic,rwd,truck,white,al
279,11987,2012,lexus,ct 200h f-sport,excellent,4,gas,117000,automatic,fwd,hatchback,white,al
280,45000,2007,chevrolet,corvette,like new,8,gas,18000,manual,rwd,convertible,black,al
281,130000,2019,chevrolet,corvette,like new,8,gas,5000,automatic,rwd,coupe,blue,al
282,9000,2011,audi,a5,good,4,gas,102380,automatic,4wd,coupe,black,al
283,4800,1996,toyota,4runner 4wd,good,6,gas,314000,automatic,4wd,SUV,green,al
284,3300,1994,bmw,318ic cabrio,fair,4,gas,304000,manual,rwd,convertible,black,al
285,3650,2009,saturn,aura,like new,6,gas,127658,automatic,fwd,sedan,brown,al
286,9000,2015,volkswagen,passat wolfsburg,excellent,4,gas,99000,automatic,fwd,sedan,silver,al
287,32000,2013,gmc,sierra denali,excellent,8,gas,95000,manual,4wd,truck,black,al
288,40000,2017,ford,f-150,like new,6,gas,44000,automatic,rwd,truck,blue,al
289,2950,2004,ford,taurus,good,6,gas,193049,automatic,fwd,sedan,silver,al
290,7500,2004,gmc,sierra,good,8,gas,187265,automatic,rwd,truck,brown,al
291,35590,2017,lincoln,navigator l select sport,good,6,gas,76216,automatic,4wd,SUV,white,al
292,16900,2015,chevrolet,traverse l t,excellent,6,gas,71363,automatic,rwd,SUV,grey,al
293,4200,2009,hyundai,sonata,excellent,4,gas,93000,automatic,fwd,sedan,black,al
294,9900,2012,mini,cooper countryman s,excellent,4,gas,108301,automatic,fwd,hatchback,green,al
295,10900,2012,mini,cooper hardtop s,excellent,4,gas,92000,automatic,fwd,hatchback,blue,al
296,6500,2007,chevrolet,silverado,good,8,gas,233000,automatic,4wd,truck,white,al
297,5700,2007,jeep,grand cherokee,excellent,8,gas,164000,automatic,4wd,SUV,red,al
298,28750,2003,chevrolet,silverado 2500,like new,8,diesel,20000,automatic,4wd,truck,white,al
299,24500,2010,toyota,tundra crewmax,excellent,8,gas,81100,automatic,rwd,truck,silver,al
300,15900,2011,mercedes-benz,benz glk 350,excellent,6,gas,63000,automatic,rwd,SUV,white,al
301,18053,2016,bmw,x3,like new,4,gas,110000,automatic,4wd,SUV,white,al
302,4000,2007,cadillac,dts,fair,8,gas,141000,automatic,rwd,sedan,grey,al
303,2000,2005,ford,five hundred,good,6,gas,165000,automatic,fwd,sedan,black,al
304,1800,2002,ford,sport trac,fair,6,gas,280000,automatic,rwd,truck,white,al
305,4000,2001,jeep,grand cherokee,fair,6,gas,117000,automatic,rwd,SUV,white,al
306,55000,2019,chevrolet,silverado,like new,8,gas,58000,automatic,4wd,truck,white,al
307,4500,1994,honda,accord,good,4,gas,184000,manual,fwd,sedan,blue,al
308,3000,1982,ford,f100,fair,6,gas,42000,automatic,rwd,truck,green,al
309,3000,2005,ford,f-150 lariat,fair,8,gas,150000,automatic,rwd,truck,blue,al
310,7000,2013,ford,fusion se,excellent,4,gas,150000,automatic,fwd,sedan,blue,al
