Vehicle,Price,Year,Manufacturer,Model,Condition,Cylinders,Fuel,Odometer,Transmission,Drive,Type,Paint,State
15379,13990,2012,toyota,sienna,excellent,6,gas,113625,automatic,fwd,mini-van,blue,fl
15380,27990,2017,ford,f150,excellent,6,gas,131654,automatic,4wd,truck,grey,fl
15381,4500,2003,ford,f-150,excellent,8,gas,278263,automatic,4wd,truck,blue,fl
15382,77990,2019,ford,f350 lariat,excellent,8,diesel,23660,automatic,4wd,truck,grey,fl
15383,8500,1994,ford,mustang cobra convertible,good,8,gas,83300,manual,rwd,convertible,red,fl
15384,3000,2006,pontiac,g6,good,4,gas,132337,automatic,fwd,sedan,grey,fl
15385,3000,2005,gmc,yukon,good,8,gas,212000,automatic,rwd,SUV,black,fl
15386,37500,2017,ford,f-350,good,8,diesel,110000,automatic,4wd,truck,white,fl
15387,7790,2012,ford,transit connect,good,4,gas,168178,automatic,fwd,van,white,fl
15388,15500,2007,toyota,fj cruiser,excellent,6,gas,137500,automatic,4wd,SUV,silver,fl
15389,18990,2014,ford,mustang,excellent,8,gas,84099,automatic,rwd,coupe,silver,fl
15390,18990,2013,mercedes-benz,ml,excellent,6,diesel,103322,automatic,4wd,SUV,red,fl
15391,30990,2017,chevrolet,silverado 1500,excellent,8,gas,89609,automatic,rwd,truck,white,fl
15392,15000,2003,ford,f350 dually,good,8,diesel,110000,manual,4wd,truck,green,fl
15393,36990,2016,porsche,cayenne,excellent,6,gas,72988,automatic,4wd,SUV,black,fl
15394,23990,2015,gmc,canyon,excellent,6,gas,79080,automatic,rwd,truck,silver,fl
15395,28990,2013,ford,f250 king ranch,excellent,8,gas,172040,automatic,4wd,truck,white,fl
15396,15990,2015,audi,a4,excellent,4,gas,101305,automatic,fwd,sedan,grey,fl
15397,40990,2018,ford,f250,excellent,8,gas,68202,automatic,4wd,truck,white,fl
15398,23990,2016,ford,transit,excellent,6,gas,60288,automatic,rwd,wagon,white,fl
15399,18990,2016,ford,explorer,excellent,4,gas,111074,automatic,fwd,SUV,grey,fl
15400,8500,1994,ford,mustang cobra convertible,excellent,8,gas,83300,manual,rwd,convertible,red,fl
15401,5500,2008,subaru,legacy outback,good,4,gas,171000,automatic,4wd,wagon,brown,fl
15402,4500,2000,mercury,grand marquis,excellent,8,gas,94878,automatic,fwd,sedan,silver,fl
15403,5590,2010,ford,focus,good,4,gas,98818,automatic,fwd,sedan,black,fl
15404,3890,2005,toyota,camry,excellent,4,gas,187705,manual,fwd,sedan,silver,fl
15405,9790,2010,toyota,sienna,excellent,6,gas,122976,automatic,fwd,mini-van,white,fl
15406,17490,2013,toyota,rav4,excellent,4,gas,44779,automatic,4wd,SUV,silver,fl
15407,4250,2008,nissan,altima,good,6,gas,115273,automatic,fwd,sedan,white,fl
15408,16990,2015,ford,explorer,excellent,6,gas,111194,automatic,fwd,SUV,white,fl
15409,23990,2016,ford,f150,excellent,8,gas,130832,automatic,rwd,truck,white,fl
15410,28977,2012,ford,f350 altec 35ft bucket,good,8,gas,175351,automatic,rwd,truck,white,fl
15411,14790,2014,toyota,rav4,excellent,4,gas,135655,automatic,4wd,SUV,white,fl
15412,27990,2016,jeep,wrangler,excellent,6,gas,84410,automatic,4wd,SUV,white,fl
15413,29290,2012,porsche,panamera,excellent,8,gas,117390,automatic,rwd,sedan,black,fl
15414,5175,2012,fiat,500,excellent,4,gas,82880,manual,fwd,coupe,red,fl
15415,9490,2014,nissan,rogue select,excellent,4,gas,80195,automatic,fwd,SUV,grey,fl
15416,14390,2017,nissan,altima,excellent,4,gas,71219,automatic,fwd,sedan,grey,fl
15417,11900,2019,chevrolet,cruze,excellent,4,gas,1400,automatic,fwd,sedan,grey,fl
15418,49990,2015,jeep,wrangler unlimited,excellent,6,gas,5000,automatic,4wd,SUV,black,fl
15419,1750,2001,mazda,mpv,good,6,gas,218500,automatic,fwd,mini-van,white,fl
15420,18890,2013,ford,f-150,excellent,6,gas,117546,automatic,rwd,truck,silver,fl
15421,18690,2014,ford,explorer,excellent,6,gas,90475,automatic,4wd,SUV,white,fl
